index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
2828,Wingstop,https://www.tripadvisor.com/Restaurant_Review-g60878-d12929391-Reviews-Wingstop-Seattle_Washington.html,4,3,"10002 Aurora Ave N. Ste 42, Seattle, WA 98133","#1,723 of 2,182 Restaurants in Seattle","[1, 1, 1, 0, 0]",,AmericanFast Food
2829,Royce' Chocolate At Bellevue Square,https://www.tripadvisor.com/Restaurant_Review-g58349-d23172463-Reviews-Royce_Chocolate_At_Bellevue_Square-Bellevue_Washington.html,5,1,"274a Bellevue Square, Bellevue, WA 98004-5020",#236 of 316 Restaurants in Bellevue,"[1, 0, 0, 0, 0]",,Japanese
2830,Sunny Up Egg Sandwiches,https://www.tripadvisor.com/Restaurant_Review-g60878-d23189822-Reviews-Sunny_Up_Egg_Sandwiches-Seattle_Washington.html,5,1,"Seattle, WA","#1,724 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,AmericanGrill
2831,City Soups,https://www.tripadvisor.com/Restaurant_Review-g58349-d4916196-Reviews-City_Soups-Bellevue_Washington.html,3.5,6,"601 108th Ave NE Ste 130, Bellevue, WA 98004-4383",#237 of 316 Restaurants in Bellevue,"[0, 1, 2, 1, 0]",,
2832,Samurai Noodle,https://www.tripadvisor.com/Restaurant_Review-g60878-d2039626-Reviews-Samurai_Noodle-Seattle_Washington.html,3,18,"4138 University Way NE between 41st St & 42nd St, Seattle, WA 98105-6214","#1,725 of 2,182 Restaurants in Seattle","[1, 6, 4, 4, 1]",$,JapaneseAsianSoups
2833,Subway,https://www.tripadvisor.com/Restaurant_Review-g60878-d20038206-Reviews-Subway-Seattle_Washington.html,5,1,"4301 Stone Way North Suite A, Seattle, WA 98103","#1,726 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2834,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58541-d12913618-Reviews-Starbucks-Kirkland_Washington.html,4.5,2,"6733 108th Ave NE, Kirkland, WA 98033-7056",#10 of 13 Coffee & Tea in Kirkland,"[1, 1, 0, 0, 0]",,Cafe
2835,Domino's Pizza,https://www.tripadvisor.com/Restaurant_Review-g58349-d4544319-Reviews-Domino_s_Pizza-Bellevue_Washington.html,3.5,8,"10575 NE 12th St, Bellevue, WA 98004",#238 of 316 Restaurants in Bellevue,"[3, 1, 2, 0, 1]",,Pizza
2836,Lucky Donuts,https://www.tripadvisor.com/Restaurant_Review-g58375-d12111284-Reviews-Lucky_Donuts-Burien_Washington.html,3.5,7,"140 SW 152nd St, Burien, WA 98166-2306",#54 of 70 Restaurants in Burien,"[1, 3, 2, 1, 0]",,Cafe
2837,Safeway,https://www.tripadvisor.com/Restaurant_Review-g58349-d19678853-Reviews-Safeway-Bellevue_Washington.html,5,1,"15100 SE 38th St, Bellevue, WA 98006-1728",#239 of 316 Restaurants in Bellevue,"[1, 0, 0, 0, 0]",,
2838,World Fresh Asian Eatery - Seattle Tower,https://www.tripadvisor.com/Restaurant_Review-g60878-d4636148-Reviews-World_Fresh_Asian_Eatery_Seattle_Tower-Seattle_Washington.html,4,5,"1218 3rd Ave Ste 102, Seattle, WA 98101-3097","#1,727 of 2,182 Restaurants in Seattle","[2, 1, 1, 1, 0]",,
2839,Lighthouse Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d4990350-Reviews-Lighthouse_Bar-Seattle_Washington.html,4,5,"22239 Marine View Dr S Ste 4, Seattle, WA 98198-6200","#1,728 of 2,182 Restaurants in Seattle","[0, 4, 1, 0, 0]",,SteakhouseBarPub
2840,Crab King,https://www.tripadvisor.com/Restaurant_Review-g58349-d12256682-Reviews-Crab_King-Bellevue_Washington.html,4,3,"15600 NE 8th St Ste O18, Bellevue, WA 98008-3947",#240 of 316 Restaurants in Bellevue,"[1, 1, 1, 0, 0]",$$$$,JapaneseSeafoodAsian
2841,Jimmy John's,https://www.tripadvisor.com/Restaurant_Review-g58349-d4689600-Reviews-Jimmy_John_s-Bellevue_Washington.html,3.5,9,"141 106th Ave NE, Bellevue, WA 98004-5911",#241 of 316 Restaurants in Bellevue,"[1, 4, 2, 2, 0]",,
2842,Modern,https://www.tripadvisor.com/Restaurant_Review-g60878-d7748624-Reviews-Modern-Seattle_Washington.html,3.5,7,"6108 Phinney Ave N, Seattle, WA 98103-5514","#1,729 of 2,182 Restaurants in Seattle","[1, 2, 3, 0, 0]",$$ - $$$,JapaneseCafe
2843,Carillon Kitchen,https://www.tripadvisor.com/Restaurant_Review-g58541-d21060029-Reviews-Carillon_Kitchen-Kirkland_Washington.html,5,1,"1200 Carillon Pt, Kirkland, WA 98033-7322",#114 of 147 Restaurants in Kirkland,"[1, 0, 0, 0, 0]",,
2844,Despi Delite Bakery,https://www.tripadvisor.com/Restaurant_Review-g60878-d4231743-Reviews-Despi_Delite_Bakery-Seattle_Washington.html,3.5,6,"2701 15th Ave S, Seattle, WA 98144-5024",#86 of 88 Bakeries in Seattle,"[3, 1, 0, 0, 2]",,BakeriesCafe
2845,Finn Maccool's,https://www.tripadvisor.com/Restaurant_Review-g60878-d1076308-Reviews-Finn_Maccool_s-Seattle_Washington.html,3,20,"4217 University Way NE, Seattle, WA 98105-5806","#1,730 of 2,182 Restaurants in Seattle","[2, 5, 7, 1, 3]",$$ - $$$,Bar
2846,Vietnam Cafe & Sandwich,https://www.tripadvisor.com/Restaurant_Review-g60878-d5087930-Reviews-Vietnam_Cafe_Sandwich-Seattle_Washington.html,3.5,3,"5701 15th Ave NW, Seattle, WA 98107-3004","#1,731 of 2,182 Restaurants in Seattle","[1, 1, 0, 1, 0]",$,Vietnamese
2847,Papa Johns Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d4628156-Reviews-Papa_Johns_Pizza-Seattle_Washington.html,5,3,"5401C 25TH Ave Ne Ste C, Seattle, WA 98105","#1,732 of 2,182 Restaurants in Seattle","[3, 0, 0, 0, 0]",,
2848,KIN.DEE Thai,https://www.tripadvisor.com/Restaurant_Review-g60878-d15238069-Reviews-KIN_DEE_Thai-Seattle_Washington.html,3.5,3,"2301 E Madison St, Seattle, WA 98112-5416","#1,733 of 2,182 Restaurants in Seattle","[1, 1, 0, 1, 0]",,
2849,Panwa Thai,https://www.tripadvisor.com/Restaurant_Review-g60878-d10793644-Reviews-Panwa_Thai-Seattle_Washington.html,3.5,13,"#812 12th Ave, Seattle, WA 98122-4410","#1,734 of 2,182 Restaurants in Seattle","[1, 9, 1, 0, 2]",$,AsianThai
2850,Tully's,https://www.tripadvisor.com/Restaurant_Review-g58839-d933423-Reviews-Tully_s-Yarrow_Point_Washington.html,4.5,3,"8805 Points Dr NE, Yarrow Point, WA 98004-1615",#1 of 1 Restaurant in Yarrow Point,"[2, 1, 0, 0, 0]",,
2851,Revolutions Espresso,https://www.tripadvisor.com/Restaurant_Review-g60878-d4645878-Reviews-Revolutions_Espresso-Seattle_Washington.html,4,4,"7012 Woodlawn Ave NE, Seattle, WA 98115-5433",#201 of 225 Coffee & Tea in Seattle,"[0, 3, 1, 0, 0]",,
2852,Matt's Gourmet Hot Dogs,https://www.tripadvisor.com/Restaurant_Review-g60878-d540318-Reviews-Matt_s_Gourmet_Hot_Dogs-Seattle_Washington.html,4,5,"1301 NE 45th St, Seattle, WA 98105-4502","#1,735 of 2,182 Restaurants in Seattle","[2, 2, 0, 0, 1]",,American
2853,Onda Origins Cafe & Roastery,https://www.tripadvisor.com/Restaurant_Review-g60878-d21339537-Reviews-Onda_Origins_Cafe_Roastery-Seattle_Washington.html,5,1,"5600 Rainier Ave S Ste A, Seattle, WA 98118-2444","#1,736 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,American
2854,City Teriyaki,https://www.tripadvisor.com/Restaurant_Review-g60878-d21338806-Reviews-City_Teriyaki-Seattle_Washington.html,5,1,"5400 Rainier Ave S, Seattle, WA 98118-2439","#1,736 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",$$ - $$$,Asian
2855,Moonshot Coffee,https://www.tripadvisor.com/Restaurant_Review-g60878-d21338785-Reviews-Moonshot_Coffee-Seattle_Washington.html,5,1,"9622 16th Ave SW, Seattle, WA, Seattle, WA 98106-2827","#1,736 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2856,7-Eleven,https://www.tripadvisor.com/Restaurant_Review-g60878-d13841534-Reviews-7_Eleven-Seattle_Washington.html,5,1,"3801 California Ave SW, Seattle, WA 98116-3703","#1,739 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2857,Thaal,https://www.tripadvisor.com/Restaurant_Review-g58349-d18313845-Reviews-Thaal-Bellevue_Washington.html,4,2,"15600 NE 8th St Crossroads Bellevue, Bellevue, WA 98008-3927",#242 of 316 Restaurants in Bellevue,"[0, 2, 0, 0, 0]",,
2858,BrewTop Social,https://www.tripadvisor.com/Restaurant_Review-g58732-d25926522-Reviews-BrewTop_Social-SeaTac_Washington.html,3.5,7,"17801 International Blvd Central Terminal, SeaTac, WA 98158",#27 of 52 Restaurants in SeaTac,"[4, 0, 1, 0, 2]",,American
2859,Little Prague European Bakery,https://www.tripadvisor.com/Restaurant_Review-g60878-d4634920-Reviews-Little_Prague_European_Bakery-Seattle_Washington.html,4.5,2,"6045 California Ave SW, Seattle, WA 98136-1612",#87 of 88 Bakeries in Seattle,"[1, 1, 0, 0, 0]",,Bakeries
2860,The Foodie Works,https://www.tripadvisor.com/Restaurant_Review-g60878-d21253683-Reviews-The_Foodie_Works-Seattle_Washington.html,5,1,"95 S Jackson St, Seattle, WA 98104-3824","#1,740 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",$$ - $$$,ItalianFrenchChinese
2861,Taco Del Mar,https://www.tripadvisor.com/Restaurant_Review-g60878-d4951577-Reviews-Taco_Del_Mar-Seattle_Washington.html,5,2,"1033 NE 65th Street, Seattle, WA 98115","#1,741 of 2,182 Restaurants in Seattle","[2, 0, 0, 0, 0]",,Mexican
2862,Siam Bistro,https://www.tripadvisor.com/Restaurant_Review-g60878-d17844323-Reviews-Siam_Bistro-Seattle_Washington.html,4.5,3,"12534 Aurora Ave N, Seattle, WA 98133-8036","#1,742 of 2,182 Restaurants in Seattle","[1, 2, 0, 0, 0]",,
2863,Philly's,https://www.tripadvisor.com/Restaurant_Review-g60878-d4478811-Reviews-Philly_s-Seattle_Washington.html,5,1,"3019 Martin Luther King Jr Way S, Seattle, WA 98144-6007","#1,743 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2864,Tacos Don Riky,https://www.tripadvisor.com/Restaurant_Review-g58704-d21174800-Reviews-Tacos_Don_Riky-Renton_Washington.html,5,1,"1616 NE 30th St, Renton, WA 98056-2241",#124 of 199 Restaurants in Renton,"[1, 0, 0, 0, 0]",,Mexican
2865,Pizza Pro,https://www.tripadvisor.com/Restaurant_Review-g60878-d13124604-Reviews-Pizza_Pro-Seattle_Washington.html,5,1,"108 Occidental Ave S, Seattle, WA 98104-2518","#1,744 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,ItalianAmerican
2866,Kaosamai Thai Mobile Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d4593657-Reviews-Kaosamai_Thai_Mobile_Kitchen-Seattle_Washington.html,5,2,"3 W Nickerson St, Seattle, WA 98119-1508","#1,745 of 2,182 Restaurants in Seattle","[2, 0, 0, 0, 0]",,Thai
2867,Subway,https://www.tripadvisor.com/Restaurant_Review-g58605-d4797113-Reviews-Subway-Mercer_Island_Washington.html,4,4,"7679 SE 27th Suite 9, Mercer Island, WA 98040",#20 of 26 Restaurants in Mercer Island,"[0, 3, 1, 0, 0]",,AmericanDeli
2868,Teriyaki Express,https://www.tripadvisor.com/Restaurant_Review-g58349-d4653646-Reviews-Teriyaki_Express-Bellevue_Washington.html,5,2,"1425 130th Ave NE, Bellevue, WA 98005-2221",#243 of 316 Restaurants in Bellevue,"[2, 0, 0, 0, 0]",,
2869,Lucky Barbecue,https://www.tripadvisor.com/Restaurant_Review-g58349-d19678859-Reviews-Lucky_Barbecue-Bellevue_Washington.html,5,1,"14509 NE 20th St, Bellevue, WA 98007-3712",#244 of 316 Restaurants in Bellevue,"[1, 0, 0, 0, 0]",,
2870,Whole Foods Market,https://www.tripadvisor.com/Restaurant_Review-g60878-d11725847-Reviews-Whole_Foods_Market-Seattle_Washington.html,4.5,2,"2001 15th Ave W, Seattle, WA 98119-2768","#1,746 of 2,182 Restaurants in Seattle","[1, 1, 0, 0, 0]",$$ - $$$,Cafe
2871,Mad Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d432666-Reviews-Mad_Pizza-Seattle_Washington.html,3,17,"1321 Madison St, Seattle, WA 98104-3507","#1,747 of 2,182 Restaurants in Seattle","[3, 7, 2, 1, 4]",$$ - $$$,ItalianPizza
2872,KFC,https://www.tripadvisor.com/Restaurant_Review-g60878-d2445043-Reviews-KFC-Seattle_Washington.html,3.5,8,"13450 Aurora Ave. N, Seattle, WA 98133","#1,748 of 2,182 Restaurants in Seattle","[0, 1, 4, 1, 0]",$,AmericanFast Food
2873,Kai's Bistro & Lounge,https://www.tripadvisor.com/Restaurant_Review-g60878-d4440218-Reviews-Kai_s_Bistro_Lounge-Seattle_Washington.html,4.5,3,"1312 NE 43rd St, Seattle, WA 98105-5803","#1,749 of 2,182 Restaurants in Seattle","[1, 1, 0, 0, 0]",,
2874,Los Tinos,https://www.tripadvisor.com/Restaurant_Review-g60878-d4618957-Reviews-Los_Tinos-Seattle_Washington.html,4,9,"7300 Rainier Ave S, Seattle, WA 98118-3944","#1,750 of 2,182 Restaurants in Seattle","[4, 2, 2, 0, 1]",,
2875,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58541-d4113771-Reviews-Starbucks-Kirkland_Washington.html,3.5,9,"9721 NE 119th Way Juanita Village, Kirkland, WA 98034-8955",#11 of 13 Coffee & Tea in Kirkland,"[3, 3, 0, 2, 1]",,Cafe
2876,Friday Afternoon,https://www.tripadvisor.com/Restaurant_Review-g60878-d20910061-Reviews-Friday_Afternoon-Seattle_Washington.html,5,1,"4228 Stone Way N, Seattle, WA 98103-7432","#1,751 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2877,Snowy River Cocktail Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d20375009-Reviews-Snowy_River_Cocktail_Bar-Seattle_Washington.html,5,1,"2137 2nd Ave, Seattle, WA 98121-2207","#1,752 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",$$ - $$$,American
2878,Bonchon,https://www.tripadvisor.com/Restaurant_Review-g60878-d20787644-Reviews-Bonchon-Seattle_Washington.html,5,1,"554 Broadway, Seattle, WA 98122-5329",#296 of 302 Quick Bites in Seattle,"[1, 0, 0, 0, 0]",,Quick BitesAsianKorean
2879,McDonald's,https://www.tripadvisor.com/Restaurant_Review-g58349-d4417923-Reviews-McDonald_s-Bellevue_Washington.html,3.5,7,"13841 NE 20th, Bellevue, WA 98005",#245 of 316 Restaurants in Bellevue,"[1, 2, 4, 0, 0]",,
2880,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58349-d4114151-Reviews-Starbucks-Bellevue_Washington.html,4,3,"1231 116th Ave NE 25, Bellevue, WA 98004-3804",#23 of 31 Coffee & Tea in Bellevue,"[1, 1, 1, 0, 0]",,
2881,Yum Yum Teriyaki,https://www.tripadvisor.com/Restaurant_Review-g60878-d4631763-Reviews-Yum_Yum_Teriyaki-Seattle_Washington.html,4,2,"10641 16th Ave SW, Seattle, WA 98146-2077","#1,753 of 2,182 Restaurants in Seattle","[0, 2, 0, 0, 0]",,
2882,Domino's Pizza,https://www.tripadvisor.com/Restaurant_Review-g58541-d4370173-Reviews-Domino_s_Pizza-Kirkland_Washington.html,5,2,"13501 100th Avenue NE Suite 10 Ste 10, Kirkland, WA 98034",#115 of 147 Restaurants in Kirkland,"[2, 0, 0, 0, 0]",,Pizza
2883,MI La Cay,https://www.tripadvisor.com/Restaurant_Review-g60878-d432354-Reviews-MI_La_Cay-Seattle_Washington.html,3.5,7,"718 Rainier Ave S, Seattle, WA 98144-2814","#1,754 of 2,182 Restaurants in Seattle","[2, 2, 0, 1, 1]",,Chinese
2884,Teriyaki Madness,https://www.tripadvisor.com/Restaurant_Review-g60878-d5051646-Reviews-Teriyaki_Madness-Seattle_Washington.html,3,2,"2320 N 45th St, Seattle, WA 98103-6906","#1,755 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 1]",,Japanese
2885,Domino's Pizza,https://www.tripadvisor.com/Restaurant_Review-g60878-d15251753-Reviews-Domino_s_Pizza-Seattle_Washington.html,3.5,2,"4715 Brooklyn Ave Ste A, Seattle, WA 98105","#1,756 of 2,182 Restaurants in Seattle","[1, 0, 0, 1, 0]",,
2886,Hamdi,https://www.tripadvisor.com/Restaurant_Review-g60878-d25244840-Reviews-Hamdi-Seattle_Washington.html,3.5,4,"4012 Leary Way NW Frēlard Pizza Company, Seattle, WA 98107-5044","#1,757 of 2,182 Restaurants in Seattle","[2, 0, 1, 0, 1]",$$$$,Turkish
2887,Anar,https://www.tripadvisor.com/Restaurant_Review-g60878-d11863480-Reviews-Anar-Seattle_Washington.html,4.5,2,"2040 6th Ave Amazon Doppler building, Seattle, WA 98121-2507","#1,758 of 2,182 Restaurants in Seattle","[1, 1, 0, 0, 0]",,Italian
2888,Kong Tofu House,https://www.tripadvisor.com/Restaurant_Review-g60878-d17649536-Reviews-Kong_Tofu_House-Seattle_Washington.html,5,2,"1414 NE 42nd St Suite 103A, Seattle, WA 98105-6271","#1,759 of 2,182 Restaurants in Seattle","[2, 0, 0, 0, 0]",,
2889,Little Grandma's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g58541-d23370067-Reviews-Little_Grandma_s_Kitchen-Kirkland_Washington.html,3.5,8,"12551 116th Ave NE, Kirkland, WA 98034-4310",#116 of 147 Restaurants in Kirkland,"[4, 1, 0, 0, 3]",$$ - $$$,MexicanAmericanCafe
2890,Sunrice,https://www.tripadvisor.com/Restaurant_Review-g60878-d4479015-Reviews-Sunrice-Seattle_Washington.html,5,2,"3513 NE 45th St, Seattle, WA 98105-5660","#1,760 of 2,182 Restaurants in Seattle","[2, 0, 0, 0, 0]",,
2891,Jimmy Johns,https://www.tripadvisor.com/Restaurant_Review-g58349-d4245290-Reviews-Jimmy_Johns-Bellevue_Washington.html,4,3,"601 108th Ave NE Ste 100B, Bellevue, WA 98004-4383",#246 of 316 Restaurants in Bellevue,"[0, 3, 0, 0, 0]",,Fast FoodDeli
2892,Evergreens,https://www.tripadvisor.com/Restaurant_Review-g60878-d18462583-Reviews-Evergreens-Seattle_Washington.html,5,1,"1430 2nd Ave Suite 2, Seattle, WA 98101","#1,761 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,DeliHealthy
2893,Bon Bon,https://www.tripadvisor.com/Restaurant_Review-g58342-d19126374-Reviews-Bon_Bon-Bainbridge_Island_Washington.html,5,1,"230 Winslow Way E, Bainbridge Island, WA 98110-2430",#38 of 41 Restaurants in Bainbridge Island,"[1, 0, 0, 0, 0]",,
2894,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g60878-d4613845-Reviews-Starbucks-Seattle_Washington.html,4,5,"3300 W McGraw St, Seattle, WA 98199-3246",#202 of 225 Coffee & Tea in Seattle,"[1, 1, 2, 0, 0]",,AmericanCafe
2895,Ballard Grill & Alehouse,https://www.tripadvisor.com/Restaurant_Review-g60878-d433064-Reviews-Ballard_Grill_Alehouse-Seattle_Washington.html,5,1,"4300 Leary Way NW, Seattle, WA 98107-4537",#56 of 69 Bars & Pubs in Seattle,"[1, 0, 0, 0, 0]",,Pub
2896,Potbelly Sandwich Shop,https://www.tripadvisor.com/Restaurant_Review-g60878-d19818191-Reviews-Potbelly_Sandwich_Shop-Seattle_Washington.html,5,1,"2030 6th Ave, Seattle, WA 98121","#1,763 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2897,Sunset Tavern,https://www.tripadvisor.com/Restaurant_Review-g60878-d3676696-Reviews-Sunset_Tavern-Seattle_Washington.html,3.5,10,"5433 Ballard Ave NW, Seattle, WA 98107-4052","#1,764 of 2,182 Restaurants in Seattle","[4, 2, 1, 0, 2]",,Pizza
2898,Ship Canal Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d3634366-Reviews-Ship_Canal_Grill-Seattle_Washington.html,3.5,7,"3218 Eastlake Ave E, Seattle, WA 98102-3867","#1,765 of 2,182 Restaurants in Seattle","[1, 3, 1, 0, 1]",$$ - $$$,American
2899,Taqueria Los Potrillos 4,https://www.tripadvisor.com/Restaurant_Review-g60878-d19964765-Reviews-Taqueria_Los_Potrillos_4-Seattle_Washington.html,5,1,"9600 16th Ave SW, Seattle, WA 98106-2827","#1,766 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2900,Ammi's Pakwan,https://www.tripadvisor.com/Restaurant_Review-g60878-d15162030-Reviews-Ammi_s_Pakwan-Seattle_Washington.html,5,1,"510 Broadway E, Seattle, WA 98102-5024","#1,767 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2901,Full Tilt Ice Cream,https://www.tripadvisor.com/Restaurant_Review-g60878-d19144603-Reviews-Full_Tilt_Ice_Cream-Seattle_Washington.html,5,1,"328 15th Ave E, Seattle, WA 98112-5103","#1,768 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2902,Dotties Double Wide,https://www.tripadvisor.com/Restaurant_Review-g60878-d18843597-Reviews-Dotties_Double_Wide-Seattle_Washington.html,4,2,"9609 1/2 16th Ave SW, Seattle, WA 98106-2828","#1,769 of 2,182 Restaurants in Seattle","[0, 2, 0, 0, 0]",,
2903,Sunnyside Cafe,https://www.tripadvisor.com/Restaurant_Review-g58375-d15173829-Reviews-Sunnyside_Cafe-Burien_Washington.html,4,3,"13806 1st Ave S, Burien, WA 98168-3414",#55 of 70 Restaurants in Burien,"[0, 3, 0, 0, 0]",,
2904,Hog Island Hoagie,https://www.tripadvisor.com/Restaurant_Review-g60878-d15167528-Reviews-Hog_Island_Hoagie-Seattle_Washington.html,5,1,"2001 NW Market St, Seattle, WA 98107-4013","#1,770 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2905,Miah's Kitchen,https://www.tripadvisor.com/Restaurant_Review-g58702-d10814391-Reviews-Miah_s_Kitchen-Redmond_Washington.html,3.5,5,"2022 148th Ave NE #13b, Redmond, WA 98052",#86 of 125 Restaurants in Redmond,"[0, 3, 1, 1, 0]",,Asian
2906,Cafe Bambino,https://www.tripadvisor.com/Restaurant_Review-g60878-d5082275-Reviews-Cafe_Bambino-Seattle_Washington.html,3.5,6,"405 NW 65th St, Seattle, WA 98117-5027","#1,771 of 2,182 Restaurants in Seattle","[2, 1, 1, 0, 1]",,
2907,Just Poké U-District,https://www.tripadvisor.com/Restaurant_Review-g60878-d19662494-Reviews-Just_Poke_U_District-Seattle_Washington.html,5,1,"4339 University Way NE, Seattle, WA 98105-5808","#1,772 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2908,Poke Fresh,https://www.tripadvisor.com/Restaurant_Review-g60878-d15171722-Reviews-Poke_Fresh-Seattle_Washington.html,5,1,"1026 NE 65th St, Seattle, WA 98115-6666","#1,773 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2909,Pinkabella Cupcakes,https://www.tripadvisor.com/Restaurant_Review-g58349-d4937669-Reviews-Pinkabella_Cupcakes-Bellevue_Washington.html,3.5,6,"320 Bellevue Sq, Bellevue, WA 98004-5000",#14 of 16 Desserts in Bellevue,"[2, 1, 2, 1, 0]",$$ - $$$,DessertCafe
2910,Black Pearl,https://www.tripadvisor.com/Restaurant_Review-g58740-d432811-Reviews-Black_Pearl-Shoreline_Washington.html,3,17,"14602 15th Ave NE, Shoreline, WA 98155-7103",#39 of 55 Restaurants in Shoreline,"[4, 2, 4, 5, 2]",$$ - $$$,ChineseAsian
2911,Kitchen Istanbul,https://www.tripadvisor.com/Restaurant_Review-g60878-d19398757-Reviews-Kitchen_Istanbul-Seattle_Washington.html,4.5,3,"1744 NW Market St, Seattle, WA 98107-5224","#1,774 of 2,182 Restaurants in Seattle","[2, 0, 1, 0, 0]",,
2912,Shay's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58740-d432824-Reviews-Shay_s_Restaurant-Shoreline_Washington.html,3.5,8,"15744 Aurora Ave N, Shoreline, WA 98133-5922",#40 of 55 Restaurants in Shoreline,"[1, 3, 3, 1, 0]",,
2913,baker's Seattle,https://www.tripadvisor.com/Restaurant_Review-g60878-d17828582-Reviews-Baker_s_Seattle-Seattle_Washington.html,5,1,"6408 32nd Ave NW, Seattle, WA 98107-2549","#1,775 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,AmericanBarPub
2914,Padrino's Pizza Delivery,https://www.tripadvisor.com/Restaurant_Review-g60878-d463499-Reviews-Padrino_s_Pizza_Delivery-Seattle_Washington.html,4,10,"2357 10th Ave E, Seattle, WA 98102-4009","#1,776 of 2,182 Restaurants in Seattle","[3, 6, 0, 0, 1]",$$ - $$$,Pizza
2915,Time 4 Pho,https://www.tripadvisor.com/Restaurant_Review-g60878-d3953208-Reviews-Time_4_Pho-Seattle_Washington.html,4,6,"2812 Thorndyke Ave W, Seattle, WA 98199-2934","#1,777 of 2,182 Restaurants in Seattle","[3, 1, 0, 2, 0]",,Vietnamese
2916,Chongqing Dumpling,https://www.tripadvisor.com/Restaurant_Review-g58349-d19284529-Reviews-Chongqing_Dumpling-Bellevue_Washington.html,5,1,"14603 NE 20th St #4b, Bellevue, WA 98007-3750",#247 of 316 Restaurants in Bellevue,"[1, 0, 0, 0, 0]",,Chinese
2917,Mikou Teryiyaki,https://www.tripadvisor.com/Restaurant_Review-g60878-d3247809-Reviews-Mikou_Teryiyaki-Seattle_Washington.html,4,5,"6519 4th Avenue S, Seattle, WA 98108-3259","#1,778 of 2,182 Restaurants in Seattle","[1, 3, 0, 1, 0]",,Japanese
2918,Subway,https://www.tripadvisor.com/Restaurant_Review-g60878-d5240967-Reviews-Subway-Seattle_Washington.html,4,3,"9305 Rainier Ave S Ste A Ste A, Seattle, WA 98118","#1,779 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,AmericanFast FoodDeli
2919,Los Chilangos,https://www.tripadvisor.com/Restaurant_Review-g58349-d9455524-Reviews-Los_Chilangos-Bellevue_Washington.html,5,1,"14008 NE 8th St, Bellevue, WA 98007",#248 of 316 Restaurants in Bellevue,"[1, 0, 0, 0, 0]",,Mexican
2920,Cortina Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d17826889-Reviews-Cortina_Cafe-Seattle_Washington.html,5,1,"601 Union St Two Union Square, Seattle, WA 98101-2341","#1,780 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,CafeDeli
2921,Zheng Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d19087959-Reviews-Zheng_Cafe-Seattle_Washington.html,5,1,"7815 Aurora Ave N, Seattle, WA 98103-4753","#1,781 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,
2922,Woody's Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d4999780-Reviews-Woody_s_Bar-Seattle_Washington.html,4.5,3,"19508 Aurora Ave N, Seattle, WA 98133-3521","#1,782 of 2,182 Restaurants in Seattle","[2, 0, 1, 0, 0]",,
